did,snippet_id,var_name,cognitive_complexity,value,pl,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI,MIMS,MISEI,MISM,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR
10,124,10_duration,1,16.485,C++,1,1,2,1,1,1,11,7,NA,NA,NA,NA,29,16,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,9,11,0,0
10,125,10_duration,4,24.862,C++,1,1,3,1,1,1,15,10,NA,NA,NA,NA,41,19,NA,NA,0,0,0,0,3,2,2,0,1,0,0,0,0,0,13,15,0,0
10,126,10_duration,4,20.348,C++,1,1,3,1,1,1,15,10,NA,NA,NA,NA,41,19,NA,NA,0,0,0,0,3,2,2,0,1,0,0,0,0,0,13,15,0,0
10,13,10_duration,0,17.092,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
10,14,10_duration,0,20.535,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,6,0,0
10,15,10_duration,2,18.366,C++,1,1,2,1,1,1,10,7,NA,NA,NA,NA,25,17,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,10,10,0,0
10,16,10_duration,2,18.201,C++,1,1,2,1,1,1,11,8,NA,NA,NA,NA,27,17,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,11,11,0,0
10,17,10_duration,2,21.067,C++,1,1,2,1,1,1,10,7,NA,NA,NA,NA,25,17,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,10,10,0,0
10,18,10_duration,2,22.09,C++,1,1,2,1,1,1,11,8,NA,NA,NA,NA,27,17,NA,NA,0,0,0,0,2,1,1,0,1,0,0,0,0,0,11,11,0,0
10,19,10_duration,0,16.8835,C++,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,13,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,0,0
